slug,title,author,source_language,planned_target_languages,period,genre,priority,status,source_provenance,translation_plan,license_status,notes
plato-republic-selections,Republic selections,Plato,Ancient Greek,English; French; German; Italian,4th century BCE,philosophy dialogue,medium,candidate,Perseus or public-domain Greek edition,Multiple existing public-domain translations with dates,needs-review,Justice city soul and political vocabulary.
sophocles-antigone,Antigone,Sophocles,Ancient Greek,English; French; German; Italian,5th century BCE,tragedy,high,candidate,Public-domain Greek edition,Public-domain English translations,needs-review,Kinship law burial and civic obligation.
sophocles-oedipus-tyrannus,Oedipus Tyrannus,Sophocles,Ancient Greek,English; French; German; Italian,5th century BCE,tragedy,medium,candidate,Public-domain Greek edition,Public-domain English translations,needs-review,Kinship pollution kingship and knowledge vocabulary.
euripides-medea,Medea,Euripides,Ancient Greek,English; French; German; Italian,5th century BCE,tragedy,medium,candidate,Public-domain Greek edition,Public-domain English translations,needs-review,Marriage exile oath and revenge vocabulary.
euripides-bacchae,Bacchae,Euripides,Ancient Greek,English; French; German; Italian,5th century BCE,tragedy,medium,candidate,Public-domain Greek edition,Public-domain English translations,needs-review,Cult possession kinship city and divine vocabulary.
aeschylus-agamemnon,Agamemnon,Aeschylus,Ancient Greek,English; French; German; Italian,5th century BCE,tragedy,medium,candidate,Public-domain Greek edition,Public-domain English translations,needs-review,House curse war justice and sacrifice vocabulary.
aristophanes-clouds,Clouds,Aristophanes,Ancient Greek,English; French; German; Italian,5th century BCE,comedy,low,candidate,Public-domain Greek edition,Public-domain English translations,needs-review,Useful but comic register and metre need separate treatment.
plutarch-lives-selections,Lives selections,Plutarch,Ancient Greek,English; French; German; Italian,1st-2nd century CE,biography,medium,candidate,Public-domain Greek edition,Public-domain English translations,needs-review,Biography virtue civic exemplarity and status terms.
epictetus-enchiridion,Enchiridion,Epictetus,Ancient Greek,English; French; German; Italian,2nd century CE,philosophy handbook,medium,candidate,Public-domain Greek edition,Public-domain English translations,needs-review,Compact Stoic terms and imperatives.
marcus-aurelius-meditations,Meditations,Marcus Aurelius,Ancient Greek,English; French; German; Italian,2nd century CE,philosophy notes,medium,candidate,Public-domain Greek edition,Public-domain English translations,needs-review,Late Greek introspective philosophical vocabulary.
beowulf,Beowulf,Unknown,Old English,Modern English; German; French,early medieval,heroic poetry,high,candidate,Authoritative Old English edition to be selected,Public-domain and modern translations to be assessed,needs-review,Lordship kinship feud hall gift fate and warrior vocabulary.
wanderer,The Wanderer,Unknown,Old English,Modern English; German; French,early medieval,elegiac poetry,high,candidate,Old English poetic edition to be selected,Existing translation provenance and publication date to be selected,needs-review,Exile lordship loss Christian framing and affect vocabulary.
seafarer,The Seafarer,Unknown,Old English,Modern English; German; French,early medieval,elegiac poetry,medium,candidate,Old English poetic edition to be selected,Existing translation provenance and publication date to be selected,needs-review,Exile sea hardship conversion and desire vocabulary.
anglo-saxon-chronicle-selections,Anglo-Saxon Chronicle selections,Multiple,Old English,Modern English; German; French,early medieval,chronicle prose,high,candidate,Edition and manuscript scope to be selected,Existing translation provenance and publication date to be selected,needs-review,Administrative event prose and compact political vocabulary.
sermo-lupi,Sermo Lupi ad Anglos,Wulfstan,Old English,Modern English; German; French,11th century CE,homily political theology,high,candidate,Old English edition to be selected,Existing translation provenance and publication date to be selected,needs-review,Moral legal ecclesiastical and social-status vocabulary.
aelfric-lives-selections,Lives of Saints selections,Aelfric,Old English,Modern English; German; French,10th-11th century CE,hagiography prose,medium,candidate,Old English edition to be selected,Existing translation provenance and publication date to be selected,needs-review,Useful prose control for Old English.
analects,Analects,Confucius tradition,Classical Chinese,English; Modern Chinese,classical China,philosophy sayings,high,candidate,Authoritative Classical Chinese source to be selected,Existing Modern Chinese and English translations to be assessed with publication dates,needs-review,Compact ethical and social vocabulary.
mencius,Mencius,Mencius,Classical Chinese,English; Modern Chinese,classical China,philosophy prose,high,candidate,Authoritative Classical Chinese source to be selected,Existing Modern Chinese and English translations to be assessed with publication dates,needs-review,Political moral and human-nature vocabulary.
zhuangzi,Zhuangzi,Zhuangzi tradition,Classical Chinese,English; Modern Chinese,classical China,philosophy anecdote,high,candidate,Authoritative Classical Chinese source to be selected,Existing Modern Chinese and English translations to be assessed with publication dates,needs-review,Parable technical terms and philosophical compression.
daodejing,Daodejing,Laozi tradition,Classical Chinese,English; Modern Chinese,classical China,philosophy verse,medium,candidate,Authoritative Classical Chinese source to be selected,Existing Modern Chinese and English translations to be assessed with publication dates,needs-review,Very short verse-like text requiring special controls.
shiji-selections,Records of the Grand Historian selections,Sima Qian,Classical Chinese,English; Modern Chinese,Han dynasty,history biography,high,candidate,Authoritative Classical Chinese source to be selected,Existing Modern Chinese and English translations to be assessed with publication dates,needs-review,History biography institutions offices and ritual.
hanshu,Book of Han,Ban Gu and others,Classical Chinese,English; Modern Chinese,Han dynasty,history biography,high,candidate,Kanripo CText Wikisource or other source to verify,English coverage and Modern Chinese parallel data to verify,needs-review,Major Chinese expansion branch with existing adjacent project context.
zuozhuan,Zuo Tradition,Traditional attribution,Classical Chinese,English; Modern Chinese,classical China,chronicle commentary,medium,candidate,Authoritative Classical Chinese source to be selected,Existing Modern Chinese and English translations to be assessed with publication dates,needs-review,Ritual diplomacy war and compact narrative prose.
book-of-odes,Book of Odes,Traditional anthology,Classical Chinese,English; Modern Chinese,classical China,poetry anthology,medium,candidate,Authoritative Classical Chinese source to be selected,Existing Modern Chinese and English translations to be assessed with publication dates,needs-review,Poetic control for Chinese character and translation expansion.
bhagavad-gita,Bhagavad Gita,Traditional,Sanskrit,English; Hindi; German,ancient India,religious philosophical verse,medium,candidate,Source edition to be selected,Existing public-domain translations to be confirmed with target language and publication date,needs-review,Philosophical and devotional vocabulary.
mahabharata-selections,Mahabharata selections,Traditional,Sanskrit,English; Hindi; German,ancient India,epic,medium,candidate,Source edition to be selected,Existing public-domain translations to be confirmed with target language and publication date,needs-review,Large epic control after Greek epic.
ramayana-selections,Ramayana selections,Valmiki tradition,Sanskrit,English; Hindi; German,ancient India,epic,medium,candidate,Source edition to be selected,Existing public-domain translations to be confirmed with target language and publication date,needs-review,Epic kinship duty exile and kingship vocabulary.
shakuntala,Abhijnanasakuntalam,Kalidasa,Sanskrit,English; Hindi; German,classical India,drama,low,candidate,Source edition to be selected,Existing public-domain translations to be confirmed with target language and publication date,needs-review,Drama control once Sanskrit tools are available.
caesar-gallic-war,Gallic War,Julius Caesar,Latin,English; French; German; Italian,1st century BCE,history military prose,medium,candidate,Public-domain Latin edition,Public-domain English translation to confirm,needs-review,Compact military administrative prose.
cicero-catilines,Catilinarian Orations,Cicero,Latin,English; French; German; Italian,1st century BCE,oratory,medium,candidate,Public-domain Latin edition,Public-domain English translation to confirm,needs-review,Oratorical expansion and civic vocabulary.
virgil-aeneid,Aeneid,Virgil,Latin,English; French; German; Italian,1st century BCE,epic poetry,medium,candidate,Public-domain Latin edition,Multiple existing public-domain translations with dates,needs-review,Epic control against Homer.
ovid-metamorphoses,Metamorphoses,Ovid,Latin,English; French; German; Italian,1st century CE,epic mythological poetry,medium,candidate,Public-domain Latin edition,Public-domain English translation to confirm,needs-review,Mythic narrative control.
tacitus-annals,Annals,Tacitus,Latin,English; French; German; Italian,1st-2nd century CE,history,medium,candidate,Public-domain Latin edition,Public-domain English translation to confirm,needs-review,Dense historiographical prose.
augustine-confessions,Confessions,Augustine,Latin,English; French; German; Italian,4th-5th century CE,autobiography theology,low,candidate,Public-domain Latin edition,Public-domain English translation to confirm,needs-review,Theological introspection and late Latin control.
